title,rating,stars
那抹属于我的星光,5.0分,"主演徐海乔,孟子义,苑航铭"
极品女士第一季,4.0分,"主演于莎莎,陈柏霖,邓超,佟大为"
极品女士第二季,2.0分,"主演于莎莎,张嘉倪,李菁,何云伟"
极品女士第三季,5.0分,主演于莎莎
极品女士第四季,2.0分,"主演于莎莎,陈翔,魏晨,汪东城"
嘻哈四重奏第一季,3.0分,"主演杨晴瑄,姚文雪"
嘻哈四重奏第四季,1.0分,"主演卢正雨,杨晴瑄,钱志君,姚文雪"
嘻哈四重奏第五季,1.0分,"主演卢正雨,杨晴瑄,蔡文静,钱志君"
幻城凡世,3.0分,"主演冯绍峰,张雨绮,马天宇,张萌"
鸣鸿传,5.0分,"主演张亮,白客,陈都灵,吴优"
黑狐,1.0分,"主演张若昀,刘小锋,乔鹏樾,文章"
东北往事之江湖儿女,3.0分,"主演胡兵,陈紫函,毕畅,郭珍霓"
兰陵王,1.0分,"主演冯绍峰,林依晨,陈晓东,翟天临"
神机妙算刘伯温,3.0分,"主演何冰,姜寒,于震,王刚"
生死归途,4.0分,"主演孙逊,张双利,朱泳腾,张晶晶"
新还珠格格,3.5分,"主演李晟,海陆,邱心志,张睿"
旋风十一人,3.0分,"主演胡歌,江疏影,曾黎,李子峰"
杨门女将李若彤,2.0分,"主演李若彤,宁静,郑佩佩,李绮虹"
如若巴黎不快乐,2.5分,"主演张翰,阚清子,林雨申,张雅玫"
乡村爱情1,3.5分,"主演赵本山,范伟,王亚彬,于月仙"
乡村爱情2,1.0分,"主演赵本山,贺树峰,王亚彬,于月仙"
乡村爱情3,1.0分,"主演于月仙,小沈阳,王小利,刘小光"
乡村爱情4,1.0分,"主演赵本山,贺树峰,毕畅,小沈阳"
乡村爱情5,5.0分,"主演赵本山,毕畅,贺树峰,王小利"
乡村爱情6,2.0分,"主演赵本山,刘小光,唐鉴军,贺树峰"
乡村爱情7,3.0分,"主演王小利,赵本山,毕畅,小沈阳"
乡村爱情8,2.0分,"主演赵本山,毕畅,吴云飞,王小利"
暗算,5.0分,"主演柳云龙,高明,宋春丽,祝希娟"
黎明之前吴秀波,5.0分,"主演吴秀波,林永健,陆剑民,田小洁"
狐影,3.0分,"主演何政军,李卓霖,徐雷智,徐铭悦"
奇葩四合院,3.0分,"主演方丈,王小源,于果儿,张海龙"
伪装者,2.0分,"主演胡歌,靳东,刘敏涛,王凯"
一触即发钟汉良,2.0分,"主演钟汉良,李立群,杨蕊,徐梵溪"
晓看天色暮看云,1.0分,"主演张天韵,刘鹏,朱晓鹏,张惜媛"
等到烟暖雨收 第二季,3.0分,"主演何蓝逗,冯荔军,刘泽庭,章煜奇"
连升三级/连升三级之科考奇遇记,5.0分,"主演林江国,梁家仁,谭耀文,倪大红"
战天狼/生死连2,5.0分,"主演张铎,于震,张光北,林江国"
最后一枪,4.0分,"主演保剑锋,刘钧,戴娇倩,涂黎曼"
我在大理寺当宠物,5.0分,"主演徐开骋,胡意旋,徐嘉苇,李奕增"
杨门虎将,3.0分,"主演苏有朋,蔡琳,赵雅芝,狄龙"
别让我看见,3.0分,"主演李幼斌,何明翰,陈一诺,李歌"
毛驴县令第一部1-7合集,1.0分,"主演潘长江,恬妞,巩汉林,潘阳"
毛驴县令第二部1-9合集,1.0分,"主演潘长江,苑琼丹,姜忠实,王盛"
棒棒的幸福生活,3.0分,"主演赵亮,袁志博,叮当,左佳"
长江往事/喋血长江,1.0分,"主演王雨,王媛可,刘雨鑫,李建义"
杨光的快乐生活之好好先生,4.0分,"主演杨议,杨少华,颜丹晨,温兆伦"
我的哥哥在游泳队,4.0分,"主演肖大千,辜慧敏,栩晨昱,李奇"
妈妈圈的流言蜚语,4.0分,"主演邬君梅,刘蓓,孔琳,王一楠"
至尊红颜赵文卓,3.0分,"主演贾静雯,赵文卓,寇振海,杨童舒"
好戏一出,4.0分,"主演黄渤,舒淇,王宝强,张艺兴"
一吻不定情,4.0分,"主演徐立,师铭泽,张钧然,吕绍聪"
倾世妖颜,4.0分,"主演贡米,徐洋,蔡振廷,杨雪儿"
颤抖吧阿部之朵星风云,1.0分,"主演郑业成,安悦溪,徐嘉苇,徐沐婵"
你迟到的许多年,1.0分,"主演黄晓明,殷桃,秦海璐,曹炳琨"
战地枪王,5.0分,"主演李健,徐梵溪"
怪侠一枝梅,5.0分,"主演霍建华,刘诗诗,马天宇,释彦能"
特种兵之火凤凰,2.0分,"主演徐佳,刘晓洁,安雅萍,程愫"
我是特种兵之利刃出鞘,4.0分,"主演吴京,徐佳,侯梦莎,侯勇"
骑士的手套,3.0分,"主演李泽锋,武强,李依玲,秦丽"
你迟到的许多年DVD未删减,4.0分,"主演黄晓明,殷桃,秦海璐,曹炳琨"
独狼,2.0分,"主演祖锋,颜丹晨,史光辉,芦菲"
武十郎,3.0分,"主演杨千嬅,霍建华,白冰冰,胡宇威"
夜光神杯,1.0分,"主演郭晋安,张庭,李铭顺,林湘萍"
爱在春天DVD未删减,3.0分,"主演俞灏明,袁姗姗,徐璐,陈燃"
杨光的快乐生活第一部,1.0分,"主演杨议,杨少华,韩兆,李立君"
虎妈猫爸,1.0分,"主演赵薇,佟大为,李佳,纪姿含"
三八线,1.0分,"主演张国强,王挺,曹曦文,汪裴"
萧十一郎吴奇隆,1.0分,"主演吴奇隆,朱茵,于波,马雅舒"
杨光的快乐生活第二部,2.0分,"主演杨议,杨少华,韩兆,李立君"
杨光的快乐生活第三部,3.0分,"主演杨议,杨少华,韩兆,李立君"
杨光的快乐生活第四部,3.0分,"主演杨议,杨少华,韩兆,尚华"
杨光的快乐生活第五部,3.0分,"主演杨议,杨少华,韩兆,徐熙颜"
杨光的快乐生活第六部,4.0分,"主演杨议,杨少华,韩兆"
杨光的快乐生活第七部,5.0分,"主演杨议,韩兆,杨少华"
杨光的快乐生活第八部,2.0分,"主演杨议,韩兆,买红妹,李立君"
杨光的快乐生活第九部,1.0分,"主演杨议,韩兆,杨少华,马丽"
最好的遇见/毛丫丫被婚记,3.0分,"主演明道,颖儿,马天宇,恬妞"
右玉和她的县委书记们,1.0分,"主演黄品沅,缪婷如,那志东,印小天"
赤子乘龙,2.0分,"主演任泉,李小璐,李铭顺,崔鹏"
向着炮火前进,5.0分,"主演吴奇隆,甘婷婷,王新,谢孟伟"
父爱如山,4.0分,"主演牛莉,陶虹,李雪健,刘莉莉"
何以笙箫默,4.0分,"主演钟汉良,唐嫣,谭凯,杨玏"
少帅,5.0分,"主演文章,李雪健,宋佳,张歆怡"
缘来幸福,3.0分,"主演邓家佳,马天宇,陈伟霆,敖犬"
红楼梦1987,3.0分,"主演欧阳奋强,陈晓旭,邓婕,张莉"
济公1985,4.0分,"主演游本昌,吕凉"
济公游记,5.0分,主演游本昌
东方战场,5.0分,"主演黄海冰,袁咏仪,俞飞鸿,叶璇"
鸡毛飞上天2017,1.0分,"主演殷桃,张译,陶泽如,张佳宁"
木府风云,1.0分,"主演秋瓷炫,于荣光,朱晓渔,潘虹"
涩世纪传说,1.0分,"主演陈奕,黄仁德,沈建宏,余晋"
逆青春,3.0分,"主演孟彦森,张潘靓子,马倩倩"
彭湃,4.0分,"主演吴其江,王媛可,张笑君,周舟"
大漠枪神,5.0分,"主演张子健,曲栅栅,苑冉,淳于珊珊"
飞来横福,3.0分,"主演陈佩斯,陈强,丁嘉丽,袁立"
孤岛飞鹰,5.0分,"主演张子健,梁冠华,曲栅栅,苑冉"
守护丽人,4.0分,"主演李小璐,张译,李智楠,江雪"
谢文东第三季,1.0分,"主演吴建国,贾琳,郭强,赵煜"
一代枭雄,2.0分,"主演孙红雷,陈数,巍子,余娅"
极速青春,2.0分,"主演韩东君,徐璐,丁野,董春辉"
人间规则,3.0分,"主演张雅玫,厉娜,王李丹妮,陈子由"
等到烟暖雨收 第三季,5.0分,"主演何蓝逗,冯荔军,刘泽庭,章煜奇"
爱情睡醒了,3.0分,"主演邱泽,唐嫣,徐正溪,戚薇"
北京爱情故事,5.0分,"主演陈思诚,张译,李晨,杨幂"
来不及说我爱你,1.0分,"主演钟汉良,李小冉,谭凯,齐芳"
千山暮雪,4.1分,"主演刘恺威,颖儿,温峥嵘,李智楠"
降龙之白露为霜,2.0分,"主演杨昊铭,赵诚宇,李彦漫,唐本"
创业时代,2.0分,"主演黄轩,杨颖,周一围,宋轶"
美丽见习生,2.0分,"主演马春瑞,莫小棋,李柏谊,罗鹏"
大宋传奇之赵匡胤,2.0分,"主演陈建斌,殷桃,邵峰,王绘春"
克拉恋人,3.0分,"主演唐嫣,郑智薰,罗晋,迪丽热巴"
一个鬼子都不留,1.0分,"主演于震,马少骅,宋佳伦"
于无声处,3.0分,"主演胡军,左小青,赵立新,高明"
正阳门下小女人,4.0分,"主演蒋雯丽,倪大红,田海蓉,崔心心"
三十而嫁,3.0分,"主演黄小蕾,吴军忱,贾青,高宝宝"
慎点第一季,4.0分,"主演杜冯欣怡,孙宝珠,陈梦瑶,张景琪"
慎点第二季,5.0分,"主演杜冯欣怡,孙宝珠,陈梦瑶,张景琪"
慎点第三季,3.0分,"主演杜冯欣怡,孙宝珠,陈梦瑶,张景琪"
马兰谣,4.0分,"主演田征,赵倩,徐杰,朱妍"
盛唐幻夜,2.0分,"主演吴倩,郑业成,张雨剑,董琦"
耐斯姐妹,2.0分,"主演王蕊,溪格,于效辰,崔笛"
七尺男儿,2.0分,"主演郭柏松,张立君,杨树田,杨丽萍"
二炮手,5.0分,"主演孙红雷,海清,孙茜,秦卫东"
前夫求爱记,3.0分,"主演钱芳,闫妮,高亚麟,大左"
教室的那一间,5.0分,"主演吴瑞淞,蒋袁娅蓉,王星玮,耿强"
双世宠妃2,3.0分,"主演邢昭林,梁洁,王瑞昌,钟祺"
惊蛰,5.0分,"主演杨烁,迟嘉,林雪飘,刘陆"
傻根进城,2.0分,"主演包贝尔,赵正阳,董维嘉,何建泽"
岁月,3.0分,"主演胡军,梅婷,于和伟,王早来"
我的特一营,5.0分,"主演徐佳,杨舒,林浩,马仑"
一起又看流星雨,2.0分,"主演张翰,郑爽,俞灏明,朱梓骁"
志在四方1,3.0分,"主演郑惠玉,陈莉萍,欧萱,瑞恩"
谎言背后,3.0分,"主演侯天来,安泽豪,杨紫嫣,韩烨"
温柔的背后,2.0分,"主演王挺,吴秀波,郭柯宇,侯天来"
温柔的背叛,3.0分,"主演贾青,肖涵,牛萌萌"
温柔的谎言,4.0分,"主演周泓,孙雅,张善淇,侯天来"
温柔的诱惑,2.0分,"主演侯天来,韩烨,杨紫嫣,张戈"
真爱背后,3.0分,"主演谢钢,徐熙颜,韩雨嘉,陈美行"
钢铁年代,1.0分,"主演陈宝国,冯远征,姜宏波,张译"
风味人间,1.0分,主演李立宏
为青春点赞,2.0分,"主演阿楠,董艺薇,归亚蕾,许还山"
老农民,3.0分,"主演陈宝国,冯远征,牛莉,蒋欣"
浴血十四年,2.0分,"主演刘小锋,马驰,赵亮,王玲玲"
锦绣未央,2.0分,"主演唐嫣,罗晋,吴建豪,毛晓彤"
神医喜来乐,4.0分,"主演李保田,杜雨露,沈傲君,梁丽"
星光灿烂,3.0分,"主演范伟,郑奇,冯嘉怡,杨童舒"
雪花女神龙,3.0分,"主演董璇,任天野,乔振宇,孙耀威"
唐砖,2.0分,"主演张佳宁,王天辰,张智尧,袁咏仪"
追光,5.0分,主演李潇 常笑然
小心！我要放大招了,2.0分,"主演刘雅瑟,赵诚宇,廖俊涛"
黄土高天,4.0分,"主演董勇,王海燕,马少骅,高明"
杨光的快乐生活之绅士品格,1.0分,主演杨议 颜丹晨
大仙衙门,4.0分,"主演吴倩,王传君,陈奕,叶梓棠"
马上天下,2.0分,"主演张鲁一,叶璇,印小天,陶昕然"
我的吸血鬼男友之极夜物语,4.0分,"主演公子青桑,四言,小梦"
乌龙闯情关,2.0分,"主演孙耀威,曹颖,柯受良,林心如"
将夜,5.0分,"主演陈飞宇,宋伊人,胡军,郑少秋"
回到明朝当王爷,5.0分,"主演蒋劲夫,袁冰妍,刘芮麟,柳岩"
潜伏孙红雷,3.0分,"主演孙红雷,姚晨,沈傲君,祖锋"
大厨,5.0分,"主演苗圃,冯远征,李芯逸,李梦男"
山城棒棒军第一部,4.0分,"主演庞祖云,赵亮,王群英,仇小豹"
山城棒棒军第二部,1.0分,"主演赵亮,庞祖云,王迅,张德高"
鬼谷门第一季,1.0分,"主演陈子由,刘济恺,许雅婷,圣微"
医妃难囚,1.0分,"主演杨安琪,盛英豪"
幸福一家人,5.0分,"主演董洁,翟天临,李立群,邱泽"
原来你还在这里,4.5分,"主演杨子姗,韩东君,李程彬,蓝盈莹"
风再起时,4.0分,"主演陆毅,袁泉,朱雨辰,王维维"
我的保姆手册,3.0分,"主演郑爽,英迪帕·塔尼,虞祎杰,刘彤"
宫锁珠帘,4.0分,"主演何晟铭,袁姗姗,舒畅,张嘉倪"
杜拉拉升职记,1.0分,"主演王珞丹,李光洁,李彩桦,陈慧珊"
小妖的金色城堡,4.0分,"主演米咪,周兴哲,连凯,王青"
历史的天空,3.0分,"主演张丰毅,李雪健,李琳,孙松"
对的时间，对的人 第二季,1.0分,"主演刘济恺,邵星颖,王宇泽,辛如羌"
橙红年代未删减DVD,1.0分,"主演陈伟霆,马思纯,刘奕君,陈瑶"
我的经济适用男,1.0分,"主演佟丽娅,李光洁,杜淳,高露"
我家有喜,1.0分,"主演海陆,高梓淇,李佳航,刘威"
因为爱情有晴天,5.0分,"主演海陆,蒋毅,彭冠英,赵樱子"
因为爱情有多美,2.0分,"主演海陆,蒋毅,彭冠英,赵樱子"
保姆妈妈,5.0分,"主演奚美娟,巫刚,张凯丽,高露"
我们的四十年,2.0分,"主演金世佳,柴碧云,李茂,徐小飒"
千门江湖之诡面疑云,2.0分,"主演宁桓宇,金雯昕,李岱昆,朱娅"
人间规则 第二季,4.0分,"主演张雅玫,厉娜,王李丹妮,陈子由"
闯关东中篇,4.0分,"主演王茜华,苗圃,董璇,濮存昕"
到爱的距离,1.0分,"主演李晨,靳东,崔心心,李佳"
红罂粟第一部,2.0分,"主演陈宝国,董勇,何晴"
红罂粟第二部,4.0分,"主演廖京生,朱铁,车晓"
家有一老,4.0分,"主演杜源,闫学晶,张少华,郭东文"
老鼠爱大米,5.0分,"主演陈怡蓉,许绍洋,王建隆"
怒海雄心,4.0分,"主演黄海冰,陈德容,李彩桦,秦沛"
野狼,2.0分,"主演王挺,隋俊波 ,于震"
水中花,2.0分,"主演白凡,秦丽,贾青,李梦男"
苏染染追夫记,3.0分,"主演尹淇,金浩,孙玮伦,于果"
我在锡林郭勒等你,5.0分,"主演黄圣依,杨子,林静,高梓淇"
无间有爱,4.0分,"主演贺军翔,邓家佳,赵子琪,靳东"
哑女情深,3.0分,"主演何中华,陈仙梅"
叶落长安,5.0分,"主演陈小艺,倪大红,刘涛,毛晓彤"
中华英雄,4.0分,"主演何润东,安以轩,蓝正龙,秦岚"
将夜精华版,1.0分,"主演陈飞宇,宋伊人,胡军,郑少秋"
最后征战,5.0分,"主演孙逊,曾黎,宋允皓,甘露"
红酒俏佳人,1.0分,"主演胡杏儿,邱泽,李晟,茅子俊"
探灵档案,5.0分,"主演陈冠希,商天娥,邓丽欣,黄德斌"
铁齿铜牙纪晓岚第一部,2.7分,"主演张国立,王刚,张铁林,袁立"
铁齿铜牙纪晓岚第二部,2.0分,"主演张国立,王刚,张铁林,袁立"
铁齿铜牙纪晓岚第三部,1.0分,"主演张国立,王刚,张铁林,张庭"
铁齿铜牙纪晓岚第四部,2.0分,"主演张国立,王刚,张铁林,袁立"
我爱河东狮,1.0分,"主演陈好,薛佳凝,焦恩俊,梁天"
薛仁贵传奇,1.0分,"主演保剑锋,金巧巧,张铁林"
因为爱情有幸福,3.0分,"主演唐艺昕,陈伟霆,菅纫姿,李泰"
因为爱情有幸福之二,1.0分,主演内详
新大头儿子和小头爸爸,3.0分,主演内详
少年王卫斯理,2.0分,"主演吴奇隆,于波,杨光,杨俊毅"
政委,4.0分,"主演沙溢,胡可,吕行,李依伊"
矿哥矿嫂的平凡生活,4.0分,"主演陶玉玲,汪永贵,王璐丹,郑爽"
特种兵之深入敌后,1.0分,"主演李宗翰,甘露,张志坚,羿坤"
时空侠,4.0分,"主演杜维瀚,孙瑜,王双宝,孙若飞"
区小队,1.0分,"主演齐奎,戴玥,纪宁,杜志国"
我家徒弟又挂了,5.0分,"主演付枚,张博涵,蔡俊涛,徐扬灏"
大刀记,1.0分,"主演谷智鑫,冯海煜,迟蓬,魏震"
傲剑江湖,3.0分,"主演于波,杨俊毅,徐怀钰,周海媚"
卜案,2.0分,"主演陈浩民,任天野,赵柯,张世"
欢天喜地七仙女,3.3分,"主演霍思燕,郑国霖,蒋欣,杨蕊"
妈祖,1.0分,"主演刘涛,刘德凯,林心如,刘佳"
天地传说之鱼美人,1.0分,"主演徐怀钰,郭晋安,张智尧,孙莉"
喜气洋洋猪八戒,1.0分,"主演高鑫,黄海波,徐锦江,薛佳凝"
钟馗传说,2.0分,"主演欧阳震华,王艳,李倩,金玉婷"
人不彪悍枉少年,3.0分,"主演侯明昊,万鹏,张耀,代露娃"
包公出巡之威震金陵,3.5分,"主演金超群,焦恩俊,范鸿轩,唐国强"
大舜,5.0分,"主演宗峰岩,沈傲君,赵文瑄,杨梓铎"
李卫辞官,1.0分,"主演于波,秦沛,温兆伦,刘思彤"
永远恋爱真美,5.0分,"主演雷佳音,袁姗姗,张峻宁,张雯"
热血,1.0分,"主演张子健,吕佳容,姬他,麦迪娜"
王屋山下的传说,2.0分,"主演赵恒煊,谢兰,杜源,沈丹萍"
罪案心理小组X,4.0分,"主演张超,米露,李晨浩,王润泽"
十八岁的天空,3.0分,"主演保剑锋,倪景阳,范志博,刘佩琦"
十五年等待候鸟,4.0分,"主演张若昀,孙怡,邓伦,张雪迎"
济公新传,1.0分,"主演张默,韩雨芹,张澜澜,张国立"
欢乐元帅,3.0分,"主演蔡卓妍,钟欣潼,古巨基,郭晋安 Roger Kwok"
学院传说之三生三世桃花缘,2.0分,"主演任言恺,张雅钦,陈秋实,黄子星"
隋唐英雄,4.0分,"主演蒲巴甲,张卫健,赵文瑄,陈冲"
隋唐英雄3,3.0分,"主演张卫健,刘晓庆,黄海冰,刘梓娇"
隋唐英雄2,4.0分,"主演蒲巴甲,张卫健,赵文瑄,陈冲"
隋唐英雄4,3.0分,"主演张卫健,刘晓庆,郑国霖,叶祖新"
金玉良缘,2.5分,"主演霍建华,唐嫣,邬君梅,王阳"
少年大钦差,4.0分,"主演舒畅,曾志伟,吴孟达,叮当"
魔剑生死棋,4.0分,"主演唐国强,孙协志,刘涛,邵兵"
新上门女婿,5.0分,"主演张译,张歆艺,潘虹,李琦"
下班抓紧谈恋爱,5.0分,"主演朱雨辰,隋俊波,杜海涛,李呈媛"
烽火佳人,4.0分,"主演舒畅,陈键锋,乔振宇,石筱群"
北京青年,3.0分,"主演杜淳,贺刚,任重,李晨"
好先生,1.0分,"主演孙红雷,江疏影,王耀庆,车晓"
外滩钟声,2.0分,"主演俞灏明,吴谨言,陈谨,陈洁"
女校男生第一季,2.0分,主演高戈翟冠华吴桐张如杰
白衣校花与大长腿第一季,1.0分,"主演郝允祥,许峰,袁冰妍,赵娇娜"
白衣校花与大长腿第二季,2.0分,"主演戴向宇,陈雅婷,许峰,刘前程"
藏地密码,5.0分,"主演何润东,李纯,范世锜,沈建宏"
冒牌英雄,5.0分,"主演杨烁,周牧茵,高蓓蓓,袁乙心"
大丫鬟,3.0分,"主演马雅舒,陈思诚,吴卓羲,何晟铭"
射雕英雄传2008,1.0分,"主演胡歌,林依晨,袁弘,刘诗诗"
大汉天子,4.0分,"主演陈道明,陈莎莉,贾静雯,黄晓明"
大脚马皇后,1.0分,"主演吕丽萍,唐国强,马仑,高虎"
大宋提刑官,5.0分,"主演何冰,罗海琼,谢兰,王海燕"
汉武大帝,1.0分,"主演陈宝国,焦晃,归亚蕾,陶虹"
陆小凤之凤舞九天孙耀威,2.0分,"主演孙耀威,黎姿,李铭顺,方季韦"
岳母的幸福生活,5.0分,"主演王丽云,李勤勤,柳岩,杨议"
裸婚时代,3.0分,"主演文章,姚笛,张凯丽,丁嘉丽"
重明卫：大明机密,4.0分,"主演李川,余玥,陈烨林,史元庭"
奔腾岁月,2.0分,"主演李宗翰,张粟,瑛子,夏一瑶"
我的美女老师2,2.0分,"主演徐开骋,刘畅,孙耀琦"
先生，你哪位,3.0分,"主演高晴,岳云鹏,班嘉佳,张立威"
那片星空那片海,3.0分,"主演冯绍峰,郭碧婷,王阳明,王萌黎"
霹雳菩萨,4.0分,"主演金超群,徐静蕾,杨丽菁,邵峰"
金陵往事,5.0分,"主演董洁,韩栋,于荣光,黄曼"
征服,5.0分,"主演孙红雷,江珊,石兆琪,刘威葳"
江河水,2.0分,"主演秦昊,郭涛,车晓,阚清子"
大宋提刑官2,1.0分,"主演王庆祥,陶泽如,刘敏涛,苗圃"
宝贝,4.0分,"主演张萌,雷佳音,张铎,佟瑞欣"
铁道游击队,5.0分,"主演赵恒煊,史兰芽,刘长纯"
我与你的光年距离2,3.0分,"主演王以纶,许晓诺,完颜洛绒,张柏嘉"
航拍中国,5.0分,主演内详
火王之千里同风TV版,2.0分,"主演陈柏霖,景甜,张逸杰,赖雨濛"
秘杀名单,1.0分,"主演靳东,周扬,李立群,章贺"
黑狐之风影,1.0分,"主演吴承轩,王梓桐,崔宝月,康杰"
拯救之非常地带,1.0分,"主演王志飞,傅艺伟,刘汉强,康飞"
AA制生活,5.0分,"主演李小璐,曹炳琨,任重,马苏"
爱的多米诺,5.0分,"主演于和伟,王丽坤,宋春丽,高放"
刀客家族的女人,1.0分,"主演佟丽娅,许还幻,高露,毛晓彤"
强者风范,4.0分,"主演陈宝国,吴刚,常铖,岳秀清"
毕业时刻,3.0分,"主演蒋小涵,章龄之,刘雨欣,舒砚"
新嘻哈四重奏,5.0分,"主演孙坚,陈彦妃,韩云云,韩艺博"
香火,3.0分,"主演周一围,苗圃,韩童生,李彬"
整容季,4.0分,"主演高仁,林珠恩,赵敏成,马秋子"
长安三怪探,5.0分,"主演陈浩民,秋瓷炫,袁文康,莫小棋"
幼童,3.0分,"主演马克·吐温,容闳,曾国藩,李鸿章"
知否知否应是绿肥红瘦DVD版,5.0分,"主演赵丽颖,冯绍峰,朱一龙,施诗"
跟红顶白大三元,5.0分,"主演陈秀雯,廖启智,江华,龚慈恩"
豆腐西施杨七巧,1.0分,"主演闫学晶,徐源,张一龙,王红梅"
苟且不偷生,3.0分,"主演江奇霖,林伽怡,李晶晶,刘夏"
神风刀,3.0分,"主演秦俊杰,关晓彤,曹骏,宋轶"
穿越火线,4.0分,"主演谷智鑫,王挺,连奕名,赵会南"
知否知否应是绿肥红瘦,4.0分,"主演赵丽颖,冯绍峰,朱一龙,施诗"
姥姥的饺子馆,4.0分,"主演陈小艺,何政军,魏小军,方贻萱"
古董局中局,4.0分,"主演夏雨,乔振宇,蔡文静,田中千绘"
喜欢你时风好甜,3.0分,"主演高瀚宇,陈芋米,谷蓝帝,林妍柔"
猎鹰1949,2.0分,"主演张子健,梁冠华,曲栅栅,苑冉"
当婆婆遇上妈,1.0分,"主演潘虹,李勤勤,贾乃亮,李小璐"
火王之千里同风DVD版,4.0分,"主演陈柏霖,景甜,张逸杰,赖雨濛"
西京故事,5.0分,"主演张国强,陈小艺,石安妮,刘智扬"
格子间女人,1.0分,"主演唐嫣,吴卓羲,莫小棋,李承炫"
风车,1.0分,"主演李晨,杨立新,霍思燕,宋佳"
孙子兵法与三十六计,2.0分,"主演仇永力,杨洪武,张小磊,顾红蔚"
龙行天下,3.0分,"主演王灿,曾安琪,周明增,吴浩升"
满汉全席,3.0分,"主演徐峥,张铁林,张庭,刘冰玥"
报告老板第一季,2.0分,"主演白客,刘浩,刘循子墨,张本煜"
报告老板第二季,3.0分,"主演白客,张本煜,小爱,柯达"
报告老板番外篇,1.0分,"主演白客,刘浩,刘循子墨 Xunzimo Liu,张本煜"
船政学堂,5.0分,主演内详
东陵大盗,1.0分,"主演张耀扬,朱虹,赵峥"
父母爱情,1.0分,"主演郭涛,梅婷,王菁华,郭广平"
虎山行,5.0分,"主演寇世勋,尤勇,冯绍峰,周牧茵"
丝丝心动,5.0分,"主演张嘉倪,蓝正龙,张丹峰,颖儿"
同一个梦想,2.0分,主演陆建艺
卫子夫,4.2分,"主演王珞丹,林峯,周励淇,徐正溪"
落地，请开手机,3.0分,"主演孙红雷,傅晶,章申,甘婷婷"
我为车狂,1.0分,主演王凯 梁晶晶
六扇门,1.0分,"主演林峯,迪丽热巴,方中信,郭芮溪"
铁道游击队2,2.0分,"主演赵恒煊,刘长纯,史兰芽,程前"
蓝色妖姬,3.0分,"主演王思懿,于荣光,宋佳,苏岩"
恋了爱了,1.0分,"主演严屹宽,杜若溪,沈泰,高瑜"
你是我的眼,4.0分,"主演沈腾,许龄月,贾玲,曹海军"
舞乐传奇,4.0分,"主演秋瓷炫,林更新,高一玮,胡海锋"
新包青天,3.0分,"主演金超群,范鸿轩,何家劲,唐文龙"
花女的抗战,3.0分,"主演赵志瑶,吴健,秦雪,纪永清"
中国式离婚,5.0分,"主演陈道明,蒋雯丽,左小青,咏梅"
战争不相信眼泪,1.0分,"主演齐芳,张博,杨洋,徐百卉"
枪花,5.0分,"主演王丽坤,刘丛丹,程皓枫,黄俊鹏"
重返上海滩,1.0分,"主演丁志城,傅彪,赵子琪"
军统枪口下的女人,1.0分,"主演高寒,高语阳,韩月乔,刘思梦"
决战南京,5.0分,"主演陈宝国,韩雪,郭广平,高明"
决战大南山,2.0分,主演李艳秋，江涛，金安歌，张恒平
桃花劫,1.0分,"主演张玉嬿,江宏恩,林韦君,霍政谚"
大刀进行曲,5.0分,"主演刘威,连奕名,矢野浩二,王奎荣"
蝴蝶行动,4.0分,"主演唐一菲,齐奎,高鑫,丁宁"
夏家三千金,4.0分,"主演唐嫣,张檬,戚薇,陈楚河"
G12特别行动组——未来战士,2.0分,"主演任天野,李岷城,申军谊,方力申"
风云1911,3.0分,"主演聂远,张洪睿,霍思燕,胡可"
别样的幸福,3.0分,"主演涂凌,方青卓,朱宏嘉,田重"
布衣天子,4.0分,"主演张国立,王刚,张铁林,贾静雯"
冬日惊雷,5.0分,"主演侯勇,王雅捷,田小洁,贺丹丹"
洪武大案,5.0分,"主演李立群,保剑锋,杨幂,富大龙"
警花与警犬,1.0分,"主演于和伟,侯梦莎,黄梦莹,夏凡"
你是我兄弟,5.0分,"主演邓超,张嘉译,董洁,张雷雨"
太平公主秘史,2.0分,"主演贾静雯,郑爽,张翰,袁弘"
先生,1.0分,主演先生
幸福像花儿一样,4.0分,"主演孙俪,邓超,辛柏青,殷桃"
掩护,1.0分,"主演陆毅,刘涛,朱泳腾"
勇者无敌,1.0分,"主演陈宝国,王海燕,韩童生,黄曼"
与狼共舞,1.0分,"主演傅浤鸣,程愫,侯梦莎,周慧林"
与狼共舞2,5.0分,"主演傅浤鸣,程愫,侯梦莎"
幕后之王,2.0分,"主演周冬雨,罗晋,刘芮麟,邬立朋"
谍战狂花,2.0分,"主演陈宝国,梅婷,王同辉,李芯逸"
红色追击令,5.0分,"主演李幼斌,朱媛媛,王千源"
花篮的花儿香,5.0分,"主演刘孜,曾黎,吕行,李倩"
钱塘传奇,3.0分,"主演汤镇业,余少群,汤镇宗,杨菲洋"
漩涡,3.0分,主演尤勇 袁泉 许亚军 王澜
致命追踪,1.0分,"主演钱泳辰,肖茵,何铁红,王烈"
我的二哥二嫂,1.0分,"主演于震,郝蕾,于洋,邓钢"
血色迷雾,2.0分,"主演柳云龙,吴冕,史可,周海媚"
鹿鼎记黄晓明版,1.0分,"主演黄晓明,何琢言,钟汉良,宁静"
婆媳过招,5.0分,"主演何赛飞,赵敏芬,毛威"
